"longitude","latitude","genus","species","country"
-40.2,-18.78,"Cavernicola","Cavernicola pilosa","BR"
-85.059952,9.867095,"Cavernicola","Cavernicola pilosa","CR"
-70.61,6.536,"Rhodnius","Psammolestes arthuri","CO"
-67.606616,10.244193,"Rhodnius","Psammolestes arthuri","VE"
-64.986944,9.605001,"Rhodnius","Psammolestes arthuri","VE"
-64.68349,10.136713,"Rhodnius","Psammolestes arthuri","VE"
-64.668831,9.988228,"Rhodnius","Psammolestes arthuri","VE"
-64.682496,10.147971,"Rhodnius","Psammolestes arthuri","VE"
-64.962026,9.670929,"Rhodnius","Psammolestes arthuri","VE"
-64.4758,10.07311,"Rhodnius","Psammolestes arthuri","VE"
-71.8919,5.8806,"Rhodnius","Psammolestes arthuri","CO"
-64.43556,10.01333,"Rhodnius","Psammolestes arthuri","VE"
-64.985785,9.573922,"Rhodnius","Psammolestes arthuri","VE"
-64.3642,10.0147,"Rhodnius","Psammolestes arthuri","VE"
-72.928792,4.608736,"Rhodnius","Psammolestes arthuri","CO"
-64.3118,10.00739,"Rhodnius","Psammolestes arthuri","VE"
-64.54667,10.0712,"Rhodnius","Psammolestes arthuri","VE"
-67.628,9.76725,"Rhodnius","Psammolestes arthuri","VE"
-73.342869,4.111606,"Rhodnius","Psammolestes arthuri","CO"
-72.8988,4.8721,"Rhodnius","Psammolestes arthuri","CO"
-64.45821,10.15039,"Rhodnius","Psammolestes arthuri","VE"
-64.5518,10.1442,"Rhodnius","Psammolestes arthuri","VE"
-65.520266,10.017469,"Rhodnius","Psammolestes arthuri","VE"
-71.002231,6.547306,"Rhodnius","Psammolestes arthuri","CO"
-64.62,-27.75,"Rhodnius","Psammolestes coreodes","AR"
-62.85,-26.5833,"Rhodnius","Psammolestes coreodes","AR"
-62.1667,-27.6167,"Rhodnius","Psammolestes coreodes","AR"
-62.1667,-27.6167,"Rhodnius","Psammolestes coreodes","AR"
-62.1667,-27.6167,"Rhodnius","Psammolestes coreodes","AR"
-65.019585,-27.281313,"Rhodnius","Psammolestes coreodes","AR"
-63.69157,-22.044983,"Rhodnius","Psammolestes coreodes","AR"
-58.804085,-27.951714,"Rhodnius","Psammolestes coreodes","AR"
-63.79752,-22.516486,"Rhodnius","Psammolestes coreodes","AR"
-65.576554,-27.30453,"Rhodnius","Psammolestes coreodes","AR"
-58.9833,-27.45,"Rhodnius","Psammolestes coreodes","AR"
-61.1667,-26.7833,"Rhodnius","Psammolestes coreodes","AR"
-64.775365,-26.423467,"Rhodnius","Psammolestes coreodes","AR"
-63.3,-26.4167,"Rhodnius","Psammolestes coreodes","AR"
-64.9667,-25.8,"Rhodnius","Psammolestes coreodes","AR"
-64.5833,-24.0833,"Rhodnius","Psammolestes coreodes","AR"
-65.689115,-27.338207,"Rhodnius","Psammolestes coreodes","AR"
-65.283333,-29.383333,"Rhodnius","Psammolestes coreodes","AR"
-65.316667,-28.1,"Rhodnius","Psammolestes coreodes","AR"
-57.866667,-28.366667,"Rhodnius","Psammolestes coreodes","AR"
-58.816667,-27.483333,"Rhodnius","Psammolestes coreodes","AR"
-58.566667,-27.516667,"Rhodnius","Psammolestes coreodes","AR"
-58.510976,-27.375854,"Rhodnius","Psammolestes coreodes","AR"
-57.616667,-27.75,"Rhodnius","Psammolestes coreodes","AR"
-57.591839,-27.994754,"Rhodnius","Psammolestes coreodes","AR"
-63.473257,-29.383857,"Rhodnius","Psammolestes coreodes","AR"
-63.473257,-29.383857,"Rhodnius","Psammolestes coreodes","AR"
-63.473257,-29.383857,"Rhodnius","Psammolestes coreodes","AR"
-63.473257,-29.383857,"Rhodnius","Psammolestes coreodes","AR"
-63.473257,-29.383857,"Rhodnius","Psammolestes coreodes","AR"
-67.58599,-30.26751,"Rhodnius","Psammolestes coreodes","AR"
-61.57586,-26.91725,"Rhodnius","Psammolestes coreodes","AR"
